6371000.0&0.0&-10.0211
6376447.7223&5447.7223&-10.0211
6392830.0652&21830.0652&-9.9869
6420206.2958&49206.2958&-9.9188
6458636.3595&87636.3595&-9.8177
6508180.8892&137180.8892&-9.685
6568901.2149&197901.2149&-9.5224
6640859.3723&269859.3723&-9.3322
6724118.1128&353118.1128&-9.1167
6818740.9102&447740.9102&-8.8789
6924791.9706&553791.9706&-8.6216
7042336.2449&671336.2449&-8.3478
7171439.4331&800439.4331&-8.0606
7312167.9943&941167.9943&-7.7631
7464589.1512&1093589.1512&-7.4583
7628770.9185&1257770.9185&-7.1488
7804782.1063&1433782.1063&-6.8371
7992692.3194&1621692.3194&-6.5257
8192571.9701&1821571.9701&-6.2168
8404492.3047&2033492.3047&-5.9121
8628525.4018&2257525.4018&-5.6136
8864744.2094&2493744.2094&-5.3221
9113222.546&2742222.546&-5.0389
9374035.1007&3003035.1007&-4.765
9647257.4547&3276257.4547&-4.5013
9932966.1113&3561966.1113&-4.248
10231238.499&3860238.499&-4.0056
10542153.013&4171153.013&-3.7741
10865789.0164&4494789.0164&-3.5536
11202226.84&4831226.84&-3.3442
11551547.8162&5180547.8162&-3.1457
11913834.305&5542834.305&-2.9578
12289169.7083&5918169.7083&-2.7802
12677638.5124&6306638.5124&-2.6127
13079326.289&6708326.289&-2.4549
13494319.6947&7123319.6947&-2.3063
13922706.5211&7551706.5211&-2.1666
14364575.7096&7993575.7096&-2.0353
14820017.3838&8449017.3838&-1.9121
15289122.8898&8918122.8898&-1.7964
15771984.7964&9400984.7964&-1.688
16268696.8961&9897696.8961&-1.5864
16779354.2728&10408354.2728&-1.4911
17304053.3035&10933053.3035&-1.4019
17842891.7114&11471891.7114&-1.3183
18395968.6034&12024968.6034&-1.2401
18963384.4699&12592384.4699&-1.1668
19545241.1883&13174241.1883&-1.0982
20141642.1093&13770642.1093&-1.0339
20752692.0463&14381692.0463&-0.97378
21378497.3514&15007497.3514&-0.91743
22019165.9495&15648165.9495&-0.86466
22674807.3373&16303807.3373&-0.81523
23345532.5923&16974532.5923&-0.76892
24031454.4788&17660454.4788&-0.72551
24732687.4257&18361687.4257&-0.68481
25449347.6285&19078347.6285&-0.64665
26181553.0784&19810553.0784&-0.61086
26929423.5625&20558423.5625&-0.5773
27693080.6741&21322080.6741&-0.54578
